game,steps,actor_cost,critic_cost,final_reward,action
0,8,0.0,0.0,-128.0,2.4904632568359375
1,11,0.0,0.0,0.4079941969651433,1.1261795893399802
2,8,0.0,0.0,-128.0,2.5
3,8,-22112.627522786457,38616817322.666664,-17.061353536752556,0.1667136219767718
4,11,-5814.791464233398,4530695144.275,15.991672222430884,2.0688220167429177
5,8,5715.140555245535,1060766813.1428572,-128.0,2.5
6,8,-3196.3272835867747,664044667.3392857,-128.0,2.5
7,8,2530.1223580496653,913973821.7142857,-128.0,2.3417863845825195
8,8,2910.571027483259,654121410.8571428,-128.0,1.9939663902537499
9,8,-507.7746276855469,1539416759.9285715,-128.0,2.5
10,8,-2034.2810886928014,1219938139.4285715,-128.0,2.5
11,8,-2104.442898341588,1162818343.857143,-128.0,2.2896852493286133
12,11,-68.12095336914062,2943425001.6,-10.684359036959137,3.59365337752596
13,8,-1649.096905708313,757366091.46875,-128.0,2.4223367305986074
14,8,-418.2414746965681,182052898.57142857,-128.0,2.5
15,11,107.83751678466797,29577620.815625,8.156524658203125,2.50996970343762
16,11,107.23579025268555,132213999.7,-2.2678574782151433,3.1065093409471545
17,11,-386.5420776367188,153736233.05,6.066088162935699,1.4145325983250467
18,11,-575.0254150390625,111657888.75,-10.330939072829025,0.507609773073919
19,8,-776.7099086216518,102065403.83035715,-128.0,2.5
20,11,59.582643842697145,15272337.496679688,9.200977032001196,2.5130641237372804
21,8,51.62584497247423,11610051.595947266,-128.0,2.4822334132121506
22,8,-282.39751107352123,36598535.97321428,-128.0,1.9851562976837158
23,8,-289.151097706386,71037377.7850429,-128.0,2.4630533395863132
24,11,75.84522800445556,28093238.318058014,-13.005080003004807,3.720079310899996
25,8,-12.583214623587471,41055257.869803295,-128.0,2.5
26,11,-120.82824974060058,97574211.6,-9.197472205528843,3.5121470231842604
27,11,859.9669918060303,114525426.540625,-0.6808612530048066,3.0237614127702557
28,8,-52.14953885759626,43279782.52678572,-128.0,1.8439334955020295
29,11,226.69560852050782,569193806.34375,-18.183352543757508,0.07038456105305381
30,11,55.743896484375,553965611.5265625,-14.623826246995193,3.8164054968536067
31,11,-1272.342685317993,222855809.8078125,-7.601719782902648,0.6245236571492161
32,8,-797.4783194405692,499508552.5,-128.0,2.2960281372070312
33,8,-708.1102839878628,653914182.3392857,-128.0,2.0916218757629395
34,11,672.8672462463379,14692002157.225,-19.895925668569717,4.167444826177239
35,11,-3226.268031311035,7607655029.0,2.34417020357572,2.825780163184217
36,11,-1237.5376327514648,10324976447.315624,-13.837848956768328,0.31114130530611683
37,11,1190.933204650879,13292942656.0,-0.464996337890625,2.972931601784446
38,7,3281.0187784830728,31447618475.458332,-124.0,1.9206699399696632
39,8,-7429.328809465681,13878697656.982143,-128.0,2.5
40,8,3585.328227451869,19696859557.714287,-128.0,2.5
41,11,1195.3871057510376,4460495203.512304,-7.788651686448318,3.4734373303382284
42,8,1484.0264957972936,781812118.9118303,-128.0,2.5
43,11,54.04710235595703,259032583.4890625,14.89617919921875,1.9712001151551897
44,8,274.8175065176828,34394712.03571428,-128.0,1.613476276397705
45,8,-246.00361129215784,21279348.875159126,-128.0,1.7592749897277977
46,8,-176.4830732004983,11606015.551757812,-128.0,1.9257495930993225
47,11,120.92559707164764,16088658.717773438,-16.649333660419174,0.1127484030598116
48,11,-32.50814792513847,12996455.611320496,-16.159165602463943,3.907677655550955
49,8,-88.66011565072196,4953770.190290178,-128.0,2.186709403991699
50,11,100.99012031555176,5747468.881195068,-14.329695481520432,0.2698275825978329
51,8,51.395948137555806,8078057.519252232,-128.0,2.5
52,8,38.386242032051086,1738426.3584507534,-128.0,2.5
53,11,-32.39563136100769,911373.2896484375,-15.700550959660454,0.007378330138720427
54,8,30.4116478732654,935862.5554547991,-128.0,2.405775834561348
55,8,-15.224340200424194,514978.6987222944,-128.0,1.676729440689087
56,8,2.012905069759914,672191.7847202846,-128.0,2.5
57,11,32.05401659011841,686968.526953125,-0.255035400390625,1.0892418523680023
58,8,-27.180008343287877,697882.4581821987,-128.0,2.4404996300804846
59,11,-73.82418289184571,2392602.4371246337,8.796912560096155,2.430875700589821
60,8,-26.505713818328722,1177157.0925292969,-128.0,2.119943618774414
61,11,71.46379127502442,7174818.3125,-8.811606773963344,0.5355048191016389
62,8,21.73702117374965,1545296.2144252232,-128.0,2.056706461523142
63,11,-130.3484796524048,22975207.906640626,12.964956430288458,2.179343483664773
64,8,1.9503830501011439,20057948.24051339,-128.0,2.5
65,8,24.905703204018728,9558283.35825893,-128.0,2.205393477518183
66,11,4.010112524032593,1580205.0854400634,4.964385986328125,1.372062924467392
67,8,-24.43629358495985,200735.2904575893,-128.0,2.5
68,8,-0.35187418120247976,46848.64015960693,-128.0,2.2740249633789062
69,11,-7.39924747645855,34306.65576171875,-23.670926607572113,4.381629945478671
70,11,-2.002270644903183,2557.236871147156,-12.111525315504807,3.7093017717898094
71,11,-0.19862863719463347,1027.549398803711,-2.579318706805884,0.9544784394189546
72,8,-2.6664318293333054,1565.7748004368373,-128.0,1.8081642667503068
73,8,-1.47611323424748,662.2922036307199,-128.0,2.5
74,11,-0.09134033024311065,274.76642150878905,-23.55701974722055,0.0
75,8,0.3399068521601813,2044.6763501848493,-128.0,2.5
76,11,-0.9760157585144043,2559.8845542907716,-20.163693941556488,4.177219650944566
77,11,-1.828785776346922,4440.731299781799,-16.07783038799579,0.14275584865182875
78,8,-3.322946529303278,8101.949115616934,-128.0,2.5
79,11,0.8496473982930184,8320.855814027786,-21.27811373197116,0.0
80,11,1.5723657369613648,19945.035527038573,-2.2391357421875,3.154556474661932
81,11,-2.4665220975875854,16850.451851654052,-6.920731764573318,3.4411125303051993
82,8,-11.66611781503473,61069.21378162929,-128.0,2.090473175048828
83,8,1.6323810304914201,35905.099373953686,-128.0,2.5
84,11,-7.587413907051086,134925.38559951782,-14.110872708834137,3.87904001701318
85,8,-21.134942872183665,55318.000392368864,-128.0,1.603661298751831
86,11,7.21229407787323,124933.39538879394,-4.4141117976261945,3.2258071254347613
87,3,-21.837374687194824,408165.3984375,-108.0,5.996526544740733
88,2,-91.36013793945312,300217.53125,-8.0,0.0
89,3,-118.5792088508606,506745.109375,-0.037499647874097874,2.558571831086757
90,3,47.831322491168976,154534.65576171875,-108.0,6.609580993652344
91,7,-133.30770222345987,10760580.361897787,-16.120390085073616,1.089695360710875
92,3,110.86552429199219,16403221.5,-108.0,6.666666666666667
93,3,329.34070587158203,12493042.5,-108.0,4.594136555989583
94,2,-27.093547821044922,424722.3125,-8.0,0.0
95,2,-664.561279296875,15377500.0,-8.0,0.0
96,2,-213.0223388671875,5417170.0,-8.0,0.0
97,8,-71.80447850908551,7289840.646484375,-4.765837449293869,1.599724292755127
98,2,-553.5325927734375,9795464.0,-8.0,0.0
99,4,-326.6754741668701,1976078.9606119792,-112.0,5.0
100,2,10.425664901733398,420776.28125,-8.0,0.0
101,2,15.94976806640625,2175286.0,-8.0,0.0
102,2,270.653564453125,7568196.0,-8.0,0.0
103,2,-63.12327575683594,227827.71875,-8.0,0.0
104,3,-389.51659393310547,9701529.625,-5.397308496328501,0.013916492462158203
105,2,33.743064880371094,83234.34375,-8.0,0.0
106,2,29.516517639160156,15102.310546875,-8.0,0.0
107,2,580.087646484375,48544676.0,-8.0,0.0
108,2,48.64171600341797,24282298.0,-8.0,0.0
109,3,-24.608829498291016,73008857.0,-1.5193364070012016,0.8541437784830729
110,2,-2002.0322265625,312103616.0,-8.0,0.0
111,3,-140.41140365600586,27473279.0,-1.6329703697791471,2.8962904658521054
112,2,115.39608001708984,265696752.0,-8.0,0.0
113,3,570.6630859375,62435582.0,-0.7369977510892429,2.710208366277586
114,4,-291.66238530476886,76424884.0,-16.0,0.0
115,2,-1175.48095703125,89160120.0,-8.0,0.0
116,2,-27.662839889526367,3677361.75,-8.0,0.0
117,3,96.17445182800293,30638063.337890625,-5.297388370220478,0.035565853118896484
118,3,577.1048278808594,66593562.0,-3.927402202899639,0.3323961893717448
