episode,step,current_force,accumulated_force,is_crushed,predicted_category,recommended_force,confidence,timestamp
0,0,0.0,0.0,False,under_grip,1.0,0.0,0.5015016198158264
0,1,0.0,0.0,False,under_grip,1.0,0.0,1.0083032846450806
0,2,0.0,0.0,False,under_grip,1.0,0.0,1.5083487033843994
0,3,0.0,0.0,False,under_grip,1.0,0.0,2.0111160278320312
0,4,0.0,0.0,False,under_grip,1.0,0.0,2.5154669284820557
0,5,0.0,0.0,False,under_grip,1.0,0.0,3.01554274559021
0,6,0.0,0.0,False,under_grip,1.0,0.0,3.516611337661743
0,7,18.230077743530273,0.0,True,critical_force,15.0,0.0,4.019655704498291
1,0,0.0,0.0,False,under_grip,1.0,0.0,8.025619506835938
1,1,0.0,0.0,False,under_grip,1.0,0.0,8.532580375671387
1,2,0.0,0.0,False,under_grip,1.0,0.0,9.03543472290039
1,3,0.0,0.0,False,under_grip,1.0,0.0,9.541292190551758
1,4,0.0,0.0,False,under_grip,1.0,0.0,10.045330047607422
1,5,0.0,0.0,False,under_grip,1.0,0.0,10.54963493347168
1,6,0.0,0.0,False,under_grip,1.0,0.0,11.049976348876953
1,7,15.53420639038086,0.0,True,critical_force,15.0,0.0,11.550788879394531
2,0,0.0,0.0,False,under_grip,1.0,0.0,16.04991912841797
2,1,0.0,0.0,False,under_grip,1.0,0.0,16.550413131713867
2,2,0.0,0.0,False,under_grip,1.0,0.0,17.050424575805664
2,3,0.0,0.0,False,under_grip,1.0,0.0,17.55227279663086
2,4,0.0,0.0,False,under_grip,1.0,0.0,18.053897857666016
2,5,0.0,0.0,False,under_grip,1.0,0.0,18.55890655517578
2,6,0.0,0.0,False,under_grip,1.0,0.0,19.066795349121094
2,7,23.964073181152344,0.0,True,critical_force,15.0,0.0,19.568519592285156
3,0,0.0,0.0,False,under_grip,1.0,0.0,24.0683536529541
3,1,0.0,0.0,False,under_grip,1.0,0.0,24.570621490478516
3,2,0.0,0.0,False,under_grip,1.0,0.0,25.073217391967773
3,3,0.0,0.0,False,under_grip,1.0,0.0,25.574411392211914
3,4,0.0,0.0,False,under_grip,1.0,0.0,26.07672691345215
3,5,0.0,0.0,False,under_grip,1.0,0.0,26.57793617248535
3,6,0.0,0.0,False,under_grip,1.0,0.0,27.081174850463867
3,7,14.876945495605469,0.0,False,optimal_grip,15.0,0.0,27.585886001586914
3,8,14.876945495605469,0.0,False,optimal_grip,15.0,0.0,28.08698081970215
3,9,14.876945495605469,0.0,False,optimal_grip,15.0,0.0,28.588010787963867
3,10,14.876945495605469,0.0,False,optimal_grip,15.0,0.0,29.08845329284668
4,0,14.876945495605469,0.0,False,optimal_grip,15.0,0.0,29.592660903930664
4,1,0.0,0.0,False,under_grip,1.0,0.0,30.09392547607422
4,2,0.0,0.0,False,under_grip,1.0,0.0,30.595422744750977
4,3,0.0,0.0,False,under_grip,1.0,0.0,31.095617294311523
4,4,0.0,0.0,False,under_grip,1.0,0.0,31.596351623535156
4,5,0.0,0.0,False,under_grip,1.0,0.0,32.09912109375
4,6,0.0,0.0,False,under_grip,1.0,0.0,32.60258483886719
4,7,0.0,0.0,False,under_grip,1.0,0.0,33.10832977294922
4,8,0.0,0.0,False,under_grip,1.0,0.0,33.611961364746094
4,9,0.0,0.0,False,under_grip,1.0,0.0,34.112525939941406
4,10,0.0,0.0,False,under_grip,1.0,0.0,34.61378479003906
4,11,0.0,0.0,False,under_grip,1.0,0.0,35.120323181152344
