episode,step,current_force,accumulated_force,is_crushed,predicted_category,recommended_force,confidence,timestamp
0,0,8.073416709899902,0.0,False,optimal_grip,9.073416709899902,0.0,3.516963243484497
1,0,8.697286605834961,0.0,False,optimal_grip,9.697286605834961,0.0,11.551684379577637
2,0,5.01242208480835,0.0,False,optimal_grip,6.01242208480835,0.0,19.574508666992188
3,0,4.1896162033081055,0.0,False,under_grip,5.1896162033081055,0.0,27.58051872253418
4,0,9.602195739746094,0.0,False,optimal_grip,10.602195739746094,0.0,35.59501266479492
5,0,15.962423324584961,0.0,True,critical_force,15.0,0.0,43.61473083496094
6,0,5.39083194732666,0.0,False,optimal_grip,6.39083194732666,0.0,51.63075637817383
7,0,15.076189041137695,0.0,True,critical_force,15.0,0.0,59.64143753051758
8,0,21.524898529052734,0.0,True,critical_force,15.0,0.0,67.65421295166016
9,0,3.252829074859619,0.0,False,under_grip,4.252829074859619,0.0,75.67366027832031
10,0,22.20394515991211,0.0,True,critical_force,15.0,0.0,83.697998046875
11,0,3.877025604248047,0.0,False,under_grip,4.877025604248047,0.0,91.71687316894531
12,0,20.730533599853516,0.0,True,critical_force,15.0,0.0,99.74117279052734
13,0,11.760030746459961,0.0,False,optimal_grip,12.760030746459961,0.0,107.75812530517578
14,0,10.394779205322266,0.0,False,optimal_grip,11.394779205322266,0.0,115.78474426269531
15,0,16.01614761352539,0.0,True,critical_force,15.0,0.0,123.81244659423828
16,0,15.758581161499023,0.0,True,critical_force,15.0,0.0,131.82220458984375
17,0,11.953180313110352,0.0,False,optimal_grip,12.953180313110352,0.0,139.84010314941406
18,0,9.897459030151367,0.0,False,optimal_grip,10.897459030151367,0.0,147.90130615234375
19,0,10.404853820800781,0.0,False,optimal_grip,11.404853820800781,0.0,155.933837890625
20,0,14.753650665283203,0.0,False,optimal_grip,15.0,0.0,163.93695068359375
21,0,18.269887924194336,0.0,True,critical_force,15.0,0.0,171.9489288330078
22,0,2.1844301223754883,0.0,False,under_grip,3.1844301223754883,0.0,179.96580505371094
23,0,15.180734634399414,0.0,True,critical_force,15.0,0.0,187.97531127929688
24,0,29.91646957397461,0.0,True,critical_force,15.0,0.0,195.99839782714844
25,0,28.460460662841797,0.0,True,critical_force,15.0,0.0,204.01539611816406
26,0,23.375194549560547,0.0,True,critical_force,15.0,0.0,212.05311584472656
27,0,25.97336196899414,0.0,True,critical_force,15.0,0.0,220.07284545898438
28,0,20.919166564941406,0.0,True,critical_force,15.0,0.0,228.07884216308594
29,0,22.177566528320312,0.0,True,critical_force,15.0,0.0,236.09579467773438
30,0,10.967060089111328,0.0,False,optimal_grip,11.967060089111328,0.0,244.13516235351562
31,0,5.015923500061035,0.0,False,optimal_grip,6.015923500061035,0.0,252.15390014648438
32,0,9.598039627075195,0.0,False,optimal_grip,10.598039627075195,0.0,260.17535400390625
33,0,8.811334609985352,0.0,False,optimal_grip,9.811334609985352,0.0,268.1791076660156
34,0,16.35643768310547,0.0,True,critical_force,15.0,0.0,276.2028503417969
35,0,22.400558471679688,0.0,True,critical_force,15.0,0.0,284.22149658203125
36,0,8.688474655151367,0.0,False,optimal_grip,9.688474655151367,0.0,292.41290283203125
37,0,17.5571231842041,0.0,True,critical_force,15.0,0.0,300.4476623535156
38,0,9.530357360839844,0.0,False,optimal_grip,10.530357360839844,0.0,308.4472351074219
39,0,29.287784576416016,0.0,True,critical_force,15.0,0.0,316.47088623046875
40,0,18.048051834106445,0.0,True,critical_force,15.0,0.0,324.4825744628906
41,0,22.854263305664062,0.0,True,critical_force,15.0,0.0,332.49334716796875
42,0,15.378150939941406,0.0,True,critical_force,15.0,0.0,340.5413513183594
43,0,27.925655364990234,0.0,True,critical_force,15.0,0.0,348.56842041015625
44,0,3.2081685066223145,0.0,False,under_grip,4.2081685066223145,0.0,356.5753173828125
45,0,15.70406723022461,0.0,True,critical_force,15.0,0.0,364.592041015625
46,0,14.334402084350586,0.0,False,optimal_grip,15.0,0.0,372.6035461425781
47,0,4.362236976623535,0.0,False,under_grip,5.362236976623535,0.0,380.1146545410156
48,0,2.718581199645996,0.0,False,under_grip,3.718581199645996,0.0,388.6319580078125
49,0,10.115314483642578,0.0,False,optimal_grip,11.115314483642578,0.0,396.6540222167969
50,0,26.914201736450195,0.0,True,critical_force,15.0,0.0,404.67364501953125
51,0,5.5406951904296875,0.0,False,optimal_grip,6.5406951904296875,0.0,412.69537353515625
